datetime,total_demand_kwh,hp_load_kwh,simulated_demand_kwh,simulated_stress_event
2014-02-17 19:00:00,377.591,40.0,417.591,1
2013-02-16 19:00:00,377.561,40.0,417.561,1
2013-01-19 20:00:00,377.547,40.0,417.547,1
2013-02-26 18:00:00,377.373,40.0,417.373,1
2013-01-24 21:00:00,377.066,40.0,417.066,1
2014-01-22 19:00:00,376.829,40.0,416.829,1
2013-11-21 19:00:00,416.762,0.0,416.762,1
2013-02-13 20:30:00,376.718,40.0,416.718,1
2014-02-12 20:00:00,376.7,40.0,416.7,1
2013-01-28 21:30:00,376.693,40.0,416.693,1
2013-01-10 20:30:00,376.628,40.0,416.628,1
2013-01-08 19:00:00,376.536,40.0,416.536,1
2013-02-11 20:00:00,376.412,40.0,416.412,1
2014-02-10 18:30:00,376.384,40.0,416.384,1
2014-01-09 19:00:00,376.292,40.0,416.292,1
2013-01-28 20:30:00,376.269,40.0,416.269,1
2013-01-11 20:00:00,376.152,40.0,416.152,1
2014-01-26 18:00:00,376.012,40.0,416.012,1
2013-02-18 18:30:00,375.979,40.0,415.979,1
2013-01-15 21:30:00,375.929,40.0,415.929,1
2014-01-02 19:00:00,375.891,40.0,415.891,1
2013-02-05 17:30:00,415.89,0.0,415.89,1
2014-01-15 18:30:00,375.859,40.0,415.859,1
2013-01-04 19:30:00,375.805,40.0,415.805,1
2014-01-20 19:30:00,375.757,40.0,415.757,1
2014-01-08 18:30:00,375.71,40.0,415.71,1
2014-01-03 18:30:00,375.654,40.0,415.654,1
2013-02-26 21:00:00,375.569,40.0,415.569,1
2013-12-18 19:30:00,375.485,40.0,415.485,1
2013-02-23 20:30:00,375.472,40.0,415.472,1
2013-01-30 19:00:00,375.461,40.0,415.461,1
2013-12-20 18:30:00,375.437,40.0,415.437,1
2013-12-09 19:30:00,375.26,40.0,415.26,1
2014-02-07 19:00:00,375.209,40.0,415.209,1
2013-12-11 20:00:00,375.15,40.0,415.15,1
2014-02-10 20:00:00,375.041,40.0,415.041,1
2014-02-13 19:00:00,374.861,40.0,414.861,1
2014-02-11 18:30:00,374.802,40.0,414.802,1
2013-03-25 19:00:00,414.791,0.0,414.791,1
2013-02-01 18:30:00,374.767,40.0,414.767,1
2013-03-24 20:00:00,414.719,0.0,414.719,1
2013-12-11 18:30:00,374.553,40.0,414.553,1
2014-01-09 18:30:00,374.539,40.0,414.539,1
2014-01-21 18:30:00,374.466,40.0,414.466,1
2013-12-03 19:00:00,374.461,40.0,414.461,1
2013-12-19 20:00:00,374.422,40.0,414.422,1
2013-02-16 18:30:00,374.408,40.0,414.408,1
2014-01-18 18:00:00,374.395,40.0,414.395,1
2013-12-09 18:30:00,374.382,40.0,414.382,1
2013-01-30 18:30:00,374.375,40.0,414.375,1
2014-01-06 19:00:00,374.335,40.0,414.335,1
2013-02-25 21:00:00,374.324,40.0,414.324,1
2013-02-06 20:30:00,374.319,40.0,414.319,1
2013-01-03 18:00:00,374.315,40.0,414.315,1
2014-01-09 19:30:00,374.313,40.0,414.313,1
2013-01-07 20:00:00,374.209,40.0,414.209,1
2013-01-18 21:00:00,374.142,40.0,414.142,1
2013-03-03 19:30:00,414.117,0.0,414.117,1
2014-01-10 19:30:00,374.021,40.0,414.021,1
2013-03-23 19:30:00,414.017,0.0,414.017,1
2013-12-24 18:30:00,373.807,40.0,413.807,1
2014-01-25 19:30:00,373.791,40.0,413.791,1
2013-01-13 21:30:00,373.775,40.0,413.775,1
2013-02-10 21:00:00,373.628,40.0,413.628,1
2013-02-14 20:00:00,373.454,40.0,413.454,1
2014-02-05 19:00:00,373.451,40.0,413.451,1
2013-12-09 19:00:00,373.319,40.0,413.319,1
2013-12-01 17:30:00,413.315,0.0,413.315,1
2013-12-18 18:30:00,373.218,40.0,413.218,1
2013-02-18 20:00:00,373.212,40.0,413.212,1
2014-01-05 20:30:00,373.167,40.0,413.167,1
2013-12-08 18:00:00,373.161,40.0,413.161,1
2013-01-31 19:30:00,373.154,40.0,413.154,1
2014-02-01 19:30:00,373.146,40.0,413.146,1
2014-01-10 19:00:00,373.111,40.0,413.111,1
2013-12-29 19:00:00,373.083,40.0,413.083,1
2014-02-09 19:30:00,373.03,40.0,413.03,1
2014-01-07 19:00:00,373.021,40.0,413.021,1
2013-02-19 19:00:00,372.979,40.0,412.979,1
2013-02-03 20:30:00,372.968,40.0,412.968,1
2013-12-04 18:30:00,372.754,40.0,412.754,1
2013-03-11 21:00:00,412.735,0.0,412.735,1
2013-02-08 20:00:00,372.678,40.0,412.678,1
2014-01-21 19:30:00,372.662,40.0,412.662,1
2013-12-18 19:00:00,372.603,40.0,412.603,1
2014-01-04 18:00:00,372.526,40.0,412.526,1
2013-12-04 19:00:00,372.3,40.0,412.3,1
2014-01-12 20:00:00,372.243,40.0,412.243,1
2014-02-09 20:00:00,372.104,40.0,412.104,1
2013-12-05 18:30:00,372.043,40.0,412.043,1
2013-12-10 19:30:00,371.985,40.0,411.985,1
2013-01-20 17:30:00,411.935,0.0,411.935,1
2014-02-02 20:00:00,371.931,40.0,411.931,1
2013-02-21 19:00:00,371.925,40.0,411.925,1
2014-02-16 19:30:00,371.71,40.0,411.71,1
2014-01-02 18:30:00,371.664,40.0,411.664,1
2013-02-04 20:00:00,371.539,40.0,411.539,1
2013-01-20 21:00:00,371.451,40.0,411.451,1
2013-02-17 18:30:00,371.412,40.0,411.412,1
2014-02-04 18:30:00,371.237,40.0,411.237,1
2013-12-24 18:00:00,371.201,40.0,411.201,1
2014-02-05 19:30:00,371.163,40.0,411.163,1
2014-01-11 18:30:00,371.126,40.0,411.126,1
2014-02-16 18:30:00,371.115,40.0,411.115,1
2014-01-06 18:30:00,371.091,40.0,411.091,1
2013-12-31 18:00:00,370.893,40.0,410.893,1
2014-01-29 18:00:00,370.881,40.0,410.881,1
2013-01-04 18:00:00,370.837,40.0,410.837,1
2014-01-27 20:00:00,370.796,40.0,410.796,1
2014-01-06 19:30:00,370.674,40.0,410.674,1
2013-01-14 21:30:00,370.568,40.0,410.568,1
2014-01-22 18:30:00,370.424,40.0,410.424,1
2013-02-03 17:30:00,410.403,0.0,410.403,1
2014-01-13 19:00:00,370.291,40.0,410.291,1
2014-01-14 19:00:00,370.168,40.0,410.168,1
2014-01-15 19:00:00,370.167,40.0,410.167,1
2013-12-29 19:30:00,370.13,40.0,410.13,1
2013-03-25 20:00:00,410.129,0.0,410.129,1
2014-01-26 20:00:00,370.025,40.0,410.025,1
2014-02-03 20:00:00,370.014,40.0,410.014,1
2013-01-10 21:00:00,369.946,40.0,409.946,1
2013-01-31 19:00:00,369.928,40.0,409.928,1
2014-01-30 19:30:00,369.912,40.0,409.912,1
2013-01-31 18:30:00,369.802,40.0,409.802,1
2014-01-25 18:00:00,369.794,40.0,409.794,1
2014-01-21 19:00:00,369.772,40.0,409.772,1
2014-01-20 18:30:00,369.634,40.0,409.634,1
2014-02-15 19:30:00,369.621,40.0,409.621,1
2013-01-07 20:30:00,369.218,40.0,409.218,1
2013-01-12 20:30:00,369.059,40.0,409.059,1
2013-02-24 21:30:00,368.998,40.0,408.998,1
2014-02-05 20:00:00,368.969,40.0,408.969,1
2013-03-13 19:00:00,408.79,0.0,408.79,1
2013-01-30 19:30:00,368.746,40.0,408.746,1
2013-12-12 18:30:00,368.719,40.0,408.719,1
2013-01-03 20:00:00,368.694,40.0,408.694,1
2013-12-20 19:00:00,368.692,40.0,408.692,1
2013-02-07 21:30:00,368.661,40.0,408.661,1
2013-01-24 21:30:00,368.659,40.0,408.659,1
2014-01-31 18:30:00,368.638,40.0,408.638,1
2013-02-22 20:30:00,368.599,40.0,408.599,1
2013-03-13 19:30:00,408.487,0.0,408.487,1
2013-12-30 18:30:00,368.451,40.0,408.451,1
2013-01-20 15:30:00,408.451,0.0,408.451,1
2013-02-19 19:30:00,368.324,40.0,408.324,1
2014-02-23 18:30:00,368.223,40.0,408.223,1
2013-12-10 18:30:00,368.069,40.0,408.069,1
2014-02-18 19:00:00,368.068,40.0,408.068,1
2014-01-24 19:00:00,367.962,40.0,407.962,1
2014-01-20 19:00:00,367.958,40.0,407.958,1
2014-01-13 18:30:00,367.938,40.0,407.938,1
